Customer_ID,Name,Age,Gender,Account_Type,Account_Balance,Transaction_Date,Transaction_Type,Transaction_Amount,Branch_Code,Is_International_Transaction
c0151595,Adam Smith,35.0,Male,Salary,90538.95,2024-04-04,Debit,5043.43,B004,0
2bfac661,Kathleen Middleton,40.0,Male,Savings,28447.45,2024-09-30,Debit,778.02,B003,1
92103799,Christina Oliver,46.0,Female,Current,84604.72,2024-09-13,Credit,2022.0,B004,0
8cf2088d,Tommy Johnson,62.0,Female,Savings,92460.54,2024-01-02,Debit,4671.85,B002,1
b8512fcc,Mark Lopez,48.0,Female,Savings,97180.64,2024-04-11,Credit,2748.1,B003,1
18199046,Andrea Barrett,40.0,Male,Salary,76509.8,2024-09-11,Credit,7521.29,B004,0
6f666602,Deborah Rogers,40.0,Male,Salary,40030.49,2023-12-09,Credit,7952.5,B002,1
1195c53d,Nicole Ingram,66.0,Female,Salary,41367.59,2023-11-20,Credit,8194.05,B005,0
922adf93,Adam Montgomery,70.0,Male,Current,21705.23,2023-11-27,Credit,2124.07,B003,0
8e4188ae,Natalie Sanders,73.0,Female,Salary,31124.12,2024-07-12,Debit,9260.37,B004,0
f8a0fcb9,Fernando Smith,55.0,Female,Current,57587.57,2024-06-06,Credit,8180.37,B004,0
50e24235,Ruth Kramer,35.0,Male,Savings,34692.46,2023-09-09,Credit,7845.35,B003,1
4c3eedf1,Stephen Sanford,40.0,Female,Savings,15615.22,2024-11-24,Debit,4407.48,B004,0
660e0392,Juan Simpson,36.0,Female,Salary,95853.32,2024-03-16,Debit,5870.5,B003,1
730ab500,Diana Gonzalez,23.0,Male,Current,14072.27,2023-10-14,Debit,3084.8,B001,1
b47fd3e1,Bradley Wright,66.0,Male,Salary,19844.69,2025-04-17,Debit,241.95,B001,1
0bb3c308,Caroline Lewis,21.0,Male,Salary,82226.62,2023-09-25,Credit,997.96,B001,1
b9ffd235,Madison Gonzalez,27.0,Female,Current,45247.77,2024-11-24,Debit,7731.36,B004,1
c20e0995,Vincent Ochoa,47.0,Male,Savings,68854.34,2025-04-18,Debit,3050.46,B001,0
ae27cfab,Richard Murphy,69.0,Female,Savings,49732.03,2024-01-07,Credit,5245.6,B001,1
ffc855bb,Rebecca Gaines,39.0,Female,Salary,66450.84,2023-11-15,Debit,3010.34,B003,1
1303e620,Sierra Fuentes,69.0,Female,Salary,96813.91,2024-02-04,Debit,5051.73,B001,1
04a11843,Robert Lewis,57.0,Male,Savings,81507.43,2024-02-28,Credit,6160.16,B004,1
a184a28c,Mr. Joseph Beck,64.0,Female,Current,13957.03,2024-11-07,Debit,6353.14,B004,1
6e8ec5b4,Kimberly Guerrero,59.0,Female,Current,27498.05,2024-09-17,Credit,6190.54,B002,0
7afd78f5,Richard Jackson,58.0,Female,Savings,60033.03,2024-03-26,Debit,3499.54,B004,1
01417436,Dennis Smith,60.0,Male,Salary,25793.2,2024-08-13,Credit,4449.17,B003,0
82f22aa5,Thomas Hogan,67.0,Female,Savings,13175.22,2024-01-07,Debit,6100.5,B001,1
de95acb2,Martin Webster,24.0,Female,Current,27035.16,2023-12-17,Credit,7687.59,B003,0
150d2879,Stanley Mendez,20.0,Male,Salary,70986.4,2024-09-08,Debit,4053.11,B002,0
d47584c9,Stacy Sweeney,74.0,Male,Salary,62629.05,2024-10-02,Credit,1702.53,B003,0
6ef05b46,Calvin Gibson,62.0,Male,Savings,46833.0,2024-06-10,Debit,8123.28,B002,1
9e69938b,Tanner Robinson,26.0,Female,Salary,9927.91,2024-08-18,Credit,1407.9,B001,1
53edd238,Walter Flores,49.0,Female,Salary,19638.74,2024-07-15,Debit,5043.43,B002,1
692704ae,Janice Franklin,49.0,Female,Savings,21291.27,2024-11-13,Debit,6981.99,B005,0
8d2ddd84,Brian Ellison,31.0,Female,Current,2182.19,2024-05-21,Credit,9368.72,B005,0
86c54be0,Joseph Wade,35.0,Female,Salary,61325.83,2024-10-27,Credit,7765.21,B002,1
c466122f,Amanda Adams,36.0,Female,Current,32164.64,2024-01-05,Debit,9366.75,B003,0
d327e9d1,Michelle Smith,30.0,Male,Current,32019.56,2024-06-01,Credit,2457.16,B004,1
80f6a485,Michael Morrison,48.0,Male,Savings,95716.91,2023-10-12,Credit,3666.43,B005,1
4395e03d,Mrs. Victoria Petersen,39.0,Male,Current,35204.77,2024-06-24,Credit,9747.34,B003,0
dd3f3db6,Catherine Robinson,20.0,Female,Salary,87024.81,2023-08-26,Credit,7277.99,B004,1
8aea7402,Brooke Weber,61.0,Male,Savings,62959.56,2023-08-16,Debit,4701.36,B002,0
74a9a35c,Arthur Alvarez,73.0,Male,Savings,4924.61,2023-09-20,Debit,9500.46,B003,0
